job_id,Company,Role,url,YOE,Diploma,Job_type,Provide_Sponsorship,skill_sets,degree_rank
19,VF,Summer 2026 Product Intern,https://vfc.wd5.myworkdayjobs.com/vfc_careers/job/USCA--USA--Colorado--Denver-HQ---VFC/Summer-2026-Product-Intern_R-20251121-0019-2?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Automated Testing & QA', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Version Control/CLI']",0
20,🔥NVIDIA,Product Management Intern,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Management-MBA-Intern--Autonomous-Vehicles-ADAS---Summer-2026_JR2007939?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Core Engineering Concepts', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Version Control/CLI']",0
21,Federal Home Loan Bank of Indianapolis,Product Delivery,https://fhlbi.wd1.myworkdayjobs.com/FHLBI_Careers/job/Indianapolis/Product-Delivery-Intern_R566?utm_source=Simplify&ref=Simplify,0.0,,Full-Time,True,"['Business/Analysis', 'Communication & Soft Skills', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Project Management & Agile', 'User/Customer Focus']",0
22,OpenSesame,Product Intern,https://boards.greenhouse.io/opensesame/jobs/7417045?utm_source=Simplify&ref=Simplify,0.0,High School,Intern,True,"['API/Architecture', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
23,Match Group,Product Intern,https://jobs.lever.co/matchgroup/fbeb8960-0eaf-4d55-a97b-fe72814cb53f/apply?utm_source=Simplify&ref=Simplify,0.0,PhD,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Data Analysis/Viz', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Version Control/CLI']",3
24,Vertiv,Product Management Internship - Summer 2026,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20256902?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'C/C++', 'HTML/CSS', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap']",0
25,Fortive,Software Product Management Intern,https://ejta.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/7963?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'C/C++', 'Communication & Soft Skills', 'HTML/CSS', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap']",0
26,Rivian,Technical Program Management Intern,https://careers.rivian.com/jobs/27879?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'C#/.NET', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'DevOps & CI/CD', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'SRE/Observability', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Statistical Modeling', 'Systems/Firmware', 'User/Customer Focus', 'Version Control/CLI']",0
27,↳,Technical Product Management – MBA Intern 🎓,https://careers.rivian.com/jobs/27871?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,0.0,Master,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'C#/.NET', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'DevOps & CI/CD', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'SRE/Observability', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Statistical Modeling', 'Systems/Firmware', 'User/Customer Focus', 'Version Control/CLI']",2
28,Intuit,Product Manager Intern,https://jobs.intuit.com/job/mountain-view/summer-2026-product-manager-intern/27595/88653400736?utm_source=Simplify&ref=Simplify,0.0,Master,Intern,True,"['API/Architecture', 'Big Data & Processing', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'Data Analysis/Viz', 'DevOps & CI/CD', 'FinTech Domain', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'SQL/Databases', 'Semiconductors & IC', 'Specialized AI Fields', 'User/Customer Focus']",2
29,MongoDB,Product Management Intern,https://www.mongodb.com/careers/job/?gh_jid=7378811&utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'FinTech Domain', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'NoSQL/NewSQL', 'Product Strategy/Roadmap', 'SRE/Observability', 'Software Engineering (Frontend & Full Stack)', 'User/Customer Focus']",0
30,Riot Games,Game Producer Intern - Summer 2026,https://job-boards.greenhouse.io/riotgamesup/jobs/7306489?utm_source=Simplify&ref=Simplify,18.0,High School,Intern,False,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
31,Trimble,Agriculture Product Management Intern,https://trimble.wd1.myworkdayjobs.com/en-US/TrimbleCareers/job/US---CO-Westminster/Agriculture-Product-Management-Intern_R53157-1?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Simulation & Analysis', 'Specialized AI Fields', 'Statistical Modeling', 'User/Customer Focus', 'Version Control/CLI']",0
32,DTCC,Product Owner Intern – 2026 Internship Program,https://ebxr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/212107?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Business/Analysis', 'DevOps & CI/CD', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts']",0
33,Fortive,Electric Measurement Product Management Intern,https://ejta.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/7951?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'C/C++', 'HTML/CSS', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Version Control/CLI']",0
34,LexisNexis Risk Solutions,Product Management Intern-Government,https://relx.wd3.myworkdayjobs.com/en-US/RiskSolutions/job/Alpharetta-GA/Product-Management-Intern--Government_R105114?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Communication & Soft Skills', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Risk/Compliance', 'Statistical Modeling', 'User/Customer Focus']",0
35,Santander,Digital Products Intern,https://santander.wd3.myworkdayjobs.com/SantanderCareers/job/Boston/Digital-Products-Intern_Req1509205?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Communication & Soft Skills', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Project Management & Agile', 'Risk/Compliance', 'User/Customer Focus', 'Version Control/CLI']",0
36,Signify,Product Compliance Engineering Intern,https://lighting.wd3.myworkdayjobs.com/jobs-and-careers/job/Peachtree-City/Product-Compliance-Engineering-Intern_361944?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Automated Testing & QA', 'C/C++', 'Communication & Soft Skills', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Python', 'Specialized AI Fields']",0
37,Great American Insurance Company,Technical Product Intern,https://gaig.wd1.myworkdayjobs.com/GAIG_External/job/Cincinnati-OH-USA/Technical-Product-Intern_R8209?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'C/C++', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Semiconductors & IC', 'User/Customer Focus', 'Version Control/CLI']",0
38,Blizzard Entertainment,Product Management Intern - Product Management,https://activision.wd1.myworkdayjobs.com/Blizzard_External_Careers/job/Irvine---Blizzard---Blizzard-Way/XMLNAME-2026-US-Summer-Internships---Product-Management_R026366?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Communication & Soft Skills', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile']",0
39,Zoox,Technical Product Management Intern - Agentic AI,https://jobs.lever.co/zoox/7151a8ec-e83f-44ba-8296-22c2951bb48a/apply?utm_source=Simplify&ref=Simplify,0.0,High School,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Version Control/CLI']",0
40,Nike,Footwear Product Line Manager,https://nike.wd1.myworkdayjobs.com/nke/job/Beaverton-Oregon/NIKE--Inc-Footwear-Product-Line-Management-Intern_R-74454?utm_source=Simplify&ref=Simplify,0.0,,Full-Time,True,"['Big Data & Processing', 'Communication & Soft Skills', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Version Control/CLI']",0
41,Santander,Deposit Product Intern,https://santander.wd3.myworkdayjobs.com/SantanderCareers/job/Boston/Deposit-Product-Intern_Req1508544?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Communication & Soft Skills', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Risk/Compliance', 'SQL/Databases', 'User/Customer Focus', 'Version Control/CLI']",0
42,Generac,Product Management Intern,https://generac.wd5.myworkdayjobs.com/en-US/external/job/Waukesha-WI---USA/Summer-2026-Product-Management-Intern_JR10402?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Communication & Soft Skills', 'Core Engineering Concepts', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile']",0
43,American Express,Campus Undergraduate Intern Program - Multiple Teams,https://aexp.eightfold.ai/careers/job/38754789?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
44,↳,Campus Undergraduate Summer Internship Program - 2026 Product Management,https://aexp.eightfold.ai/careers/job/38754794?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
45,↳,Campus Undergraduate Summer Internship Program - 2026 Product Management,https://aexp.eightfold.ai/careers/job/38754796?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
46,Great American Insurance Company,Technical Product Management Intern,https://gaig.wd1.myworkdayjobs.com/GAIG_External/job/Cincinnati-OH-USA/Technical-Product-Management-Intern_R8197?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'C/C++', 'Communication & Soft Skills', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile']",0
47,WillowTree,Product Analyst Intern - Summer 2026,https://job-boards.greenhouse.io/willowtree/jobs/8287526002?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Statistical Modeling', 'User/Customer Focus', 'Version Control/CLI']",0
